implementation,imageSize,threadCount,avgWallMs,minWallMs,maxWallMs,stdDevMs
"Sequential","Small(640x480)",1,4.083,2.799,6.241,1.126
"ManualThreads(t=1)","Small(640x480)",1,3.803,2.399,6.889,1.359
"ThreadPool(t=1)","Small(640x480)",1,2.739,2.190,3.919,0.657
"CompletableFuture(t=1)","Small(640x480)",1,2.795,2.248,3.378,0.416
"ManualThreads(t=2)","Small(640x480)",2,4.507,3.766,5.954,0.634
"ThreadPool(t=2)","Small(640x480)",2,1.880,1.234,2.812,0.535
"CompletableFuture(t=2)","Small(640x480)",2,1.970,1.426,2.937,0.515
"ManualThreads(t=4)","Small(640x480)",4,4.398,3.949,5.472,0.464
"ThreadPool(t=4)","Small(640x480)",4,1.548,0.983,2.500,0.400
"CompletableFuture(t=4)","Small(640x480)",4,1.570,1.148,2.521,0.488
"ManualThreads(t=8)","Small(640x480)",8,6.465,6.190,7.271,0.305
"ThreadPool(t=8)","Small(640x480)",8,1.392,0.933,2.171,0.344
"CompletableFuture(t=8)","Small(640x480)",8,1.303,0.862,2.655,0.527
"ManualThreads(t=11)","Small(640x480)",11,6.055,5.852,6.314,0.156
"ThreadPool(t=11)","Small(640x480)",11,1.370,0.928,2.492,0.430
"CompletableFuture(t=11)","Small(640x480)",11,1.405,1.015,1.901,0.320
"ManualThreads(t=16)","Small(640x480)",16,5.743,5.376,6.936,0.422
"ThreadPool(t=16)","Small(640x480)",16,1.551,1.129,2.685,0.475
"CompletableFuture(t=16)","Small(640x480)",16,1.399,1.129,1.839,0.256
"ForkJoin(threshold=10)","Small(640x480)",11,1.567,0.772,2.599,0.675
"ForkJoin(threshold=50)","Small(640x480)",11,1.082,0.772,2.216,0.419
"ForkJoin(threshold=200)","Small(640x480)",11,1.359,0.963,2.569,0.494
"Sequential","Medium(1920x1080)",1,27.221,18.926,42.967,6.742
"ManualThreads(t=1)","Medium(1920x1080)",1,24.444,19.729,33.000,5.010
"ThreadPool(t=1)","Medium(1920x1080)",1,24.696,18.919,34.457,4.126
"CompletableFuture(t=1)","Medium(1920x1080)",1,25.003,18.369,32.623,5.021
"ManualThreads(t=2)","Medium(1920x1080)",2,32.865,28.638,43.243,4.704
"ThreadPool(t=2)","Medium(1920x1080)",2,15.758,10.391,29.237,5.065
"CompletableFuture(t=2)","Medium(1920x1080)",2,15.347,9.973,26.012,4.957
"ManualThreads(t=4)","Medium(1920x1080)",4,28.445,25.638,42.196,4.675
"ThreadPool(t=4)","Medium(1920x1080)",4,9.091,5.433,16.416,3.305
"CompletableFuture(t=4)","Medium(1920x1080)",4,13.532,5.553,30.932,6.949
"ManualThreads(t=8)","Medium(1920x1080)",8,46.434,41.891,54.721,4.242
"ThreadPool(t=8)","Medium(1920x1080)",8,8.730,6.243,14.913,2.944
"CompletableFuture(t=8)","Medium(1920x1080)",8,7.071,4.996,11.336,2.106
"ManualThreads(t=11)","Medium(1920x1080)",11,46.270,40.042,59.591,6.520
"ThreadPool(t=11)","Medium(1920x1080)",11,10.167,5.574,18.870,4.469
"CompletableFuture(t=11)","Medium(1920x1080)",11,9.672,4.462,21.077,4.719
"ManualThreads(t=16)","Medium(1920x1080)",16,42.838,36.781,55.289,5.411
"ThreadPool(t=16)","Medium(1920x1080)",16,7.213,4.256,10.396,1.405
"CompletableFuture(t=16)","Medium(1920x1080)",16,7.419,4.544,14.211,2.740
"ForkJoin(threshold=10)","Medium(1920x1080)",11,9.002,4.362,14.404,3.189
"ForkJoin(threshold=50)","Medium(1920x1080)",11,8.459,4.329,15.903,3.883
"ForkJoin(threshold=200)","Medium(1920x1080)",11,6.926,5.021,12.105,2.282
"Sequential","Large(4096x2160)",1,104.716,64.284,164.000,31.993
"ManualThreads(t=1)","Large(4096x2160)",1,93.801,63.344,169.625,29.322
"ThreadPool(t=1)","Large(4096x2160)",1,88.985,56.893,110.333,17.534
"CompletableFuture(t=1)","Large(4096x2160)",1,101.462,72.032,173.195,28.055
"ManualThreads(t=2)","Large(4096x2160)",2,161.645,120.402,229.244,32.587
"ThreadPool(t=2)","Large(4096x2160)",2,75.185,40.863,120.997,24.532
"CompletableFuture(t=2)","Large(4096x2160)",2,79.081,32.892,214.805,48.574
"ManualThreads(t=4)","Large(4096x2160)",4,142.925,104.758,195.482,30.361
"ThreadPool(t=4)","Large(4096x2160)",4,46.203,22.743,74.577,17.931
"CompletableFuture(t=4)","Large(4096x2160)",4,61.829,23.847,101.840,25.988
"ManualThreads(t=8)","Large(4096x2160)",8,226.318,193.415,335.825,42.209
"ThreadPool(t=8)","Large(4096x2160)",8,87.639,18.467,153.823,37.226
"CompletableFuture(t=8)","Large(4096x2160)",8,57.775,19.757,113.565,30.884
"ManualThreads(t=11)","Large(4096x2160)",11,183.695,168.149,204.556,12.128
"ThreadPool(t=11)","Large(4096x2160)",11,53.354,15.066,186.913,48.151
"CompletableFuture(t=11)","Large(4096x2160)",11,34.656,14.677,52.060,13.137
"ManualThreads(t=16)","Large(4096x2160)",16,189.662,169.299,232.367,21.223
"ThreadPool(t=16)","Large(4096x2160)",16,42.667,17.280,79.624,21.609
"CompletableFuture(t=16)","Large(4096x2160)",16,91.695,50.159,250.611,57.035
"ForkJoin(threshold=10)","Large(4096x2160)",11,70.274,23.897,137.490,34.237
"ForkJoin(threshold=50)","Large(4096x2160)",11,53.774,30.155,97.380,17.667
"ForkJoin(threshold=200)","Large(4096x2160)",11,54.385,19.061,84.149,20.157
